,Position,Stock,ISIN,Name
0,1,VN000000A329,A32,Công ty cổ phần 32
1,2,VN000000AAA4,AAA,Công ty cổ phần Nhựa An Phát Xanh
2,3,VN000000AAM9,AAM,Công ty cổ phần Thủy sản Mekong
3,4,VN000000AAS6,AAS,Công ty cổ phần Chứng khoán SmartInvest
4,5,VN000000AAT4,AAT,Công ty cổ phần Tiên Sơn Thanh Hóa
5,6,VN000000AAV0,AAV,Công ty cổ phần Việt Tiên Sơn Địa ốc
6,7,VN000000ABB0,ABB,Ngân hàng Thương mại cổ phần An Bình
7,8,VN000000ABC8,ABC,Công ty cổ phần truyền thông VMG
8,9,VN000000ABG9,ABG,Công ty cổ phần Tập đoàn Đầu tư An Bình
9,10,VN000000ABI5,ABI,Công ty cổ phần Bảo hiểm Ngân hàng Nông nghiệp
0,11,VN000000ABR6,ABR,Công ty cổ phần Đầu tư Nhãn Hiệu Việt
1,12,VN000000ABS4,ABS,Công ty cổ phần Dịch vụ Nông nghiệp Bình Thuận
2,13,VN000000ABT2,ABT,Công ty cổ phần Xuất nhập khẩu Thủy sản Bến Tre
3,14,VN000000AC42,AC4,Công ty cổ phần ACC - 244
4,15,VN000000ACB8,ACB,Ngân hàng Thương mại cổ phần Á Châu
5,16,VN000000ACC6,ACC,Công ty cổ phần Đầu tư và Xây dựng Bình Dương ACC
6,17,VN000000ACE2,ACE,Công ty cổ phần Bê tông Ly tâm An Giang
7,18,VN000000ACG7,ACG,Công ty cổ phần Gỗ An Cường
8,19,VN000000ACL7,ACL,Công ty cổ phần XNK Thuỷ sản Cửu Long An Giang
9,20,VN000000ACM5,ACM,Công ty cổ phần Tập đoàn Khoáng sản Á Cường
0,31,VN000000AGC7,AGC,Công ty cổ phần Cà phê An Giang
1,32,VN000000AGD5,AGD,Công ty cổ phần Gò Đàng
2,33,VN000000AGE3,AGE,Công ty cổ phần Môi trường Đô thị An Giang
3,34,VN000000AGF0,AGF,Công ty cổ phần Xuất nhập khẩu Thủy sản An Giang
4,35,VN000000AGG8,AGG,Công ty cổ phần Đầu tư và Phát triển Bất động sản An Gia
5,36,VN000000AGM6,AGM,Công ty cổ phần Xuất nhập khẩu An Giang
